Brnd_Name,Gnrc_Name,HCPCS_Cd,HCPCS_Desc,Year,Tot_Benes,Tot_Clms,Tot_Spndng,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Year_Value
AMPICILLIN SODIUM,AMPICILLIN SODIUM,J0290,AMPICILLIN 500 MG INJ,2025 (Q1-Q4),442.0,970,4709.33,10.65459276,4.8549793814,2025
AMPICILLIN SODIUM,AMPICILLIN SODIUM,J0290,AMPICILLIN 500 MG INJ,2026 (Q1),146.0,215,832.24,5.7002739726,3.8708837209,2026
ZEMDRI,PLAZOMICIN SULFATE,J0291,"INJ., PLAZOMICIN, 5 MG",2025 (Q1-Q4),21.0,202,155966.04,7426.9542857,772.10910891,2025
ZEMDRI,PLAZOMICIN SULFATE,J0291,"INJ., PLAZOMICIN, 5 MG",2026 (Q1),600.5,33,21026.99,605.10741214,637.18151515,2026
AMPICILLIN-SULBACTAM*,AMPICILLIN SOD*,J0295,AMPICILLIN SULBACTAM 1.5 GM,2025 (Q1-Q4),577.0,986,5564.68,9.6441594454,5.6436916836,2025
AMPICILLIN-SULBACTAM*,AMPICILLIN SOD*,J0295,AMPICILLIN SULBACTAM 1.5 GM,2026 (Q1),150.0,256,1335.14,8.9009333333,5.215390625,2026
ERAXIS,ANIDULAFUNGIN,J0348,ANIDULAFUNGIN INJECTION,2025 (Q1-Q4),600.5,48,4064.87,605.10741214,84.684791667,2025
ERAXIS,ANIDULAFUNGIN,J0348,ANIDULAFUNGIN INJECTION,2026 (Q1),600.5,39,3813.87,605.10741214,97.791538462,2026
REZZAYO,REZAFUNGIN ACETATE,J0349,"INJ, REZAFUNGIN, 1 MG",2025 (Q1-Q4),245.0,1012,2873488.84,11728.525878,2839.4158498,2025
REZZAYO,REZAFUNGIN ACETATE,J0349,"INJ, REZAFUNGIN, 1 MG",2026 (Q1),104.0,281,844686.21,8121.9827885,3006.0007473,2026
HYDRALAZINE HCL,HYDRALAZINE HCL,J0360,HYDRALAZINE HCL INJECTION,2025 (Q1-Q4),640.0,699,4542.11,7.097046875,6.4980114449,2025
HYDRALAZINE HCL,HYDRALAZINE HCL,J0360,HYDRALAZINE HCL INJECTION,2026 (Q1),171.0,180,1283.14,7.5037426901,7.1285555556,2026
ABILIFY MAINTENA,ARIPIPRAZOLE,J0401,"INJ, ABILIFY MAINTENA, 1 MG",2025 (Q1-Q4),560.0,2825,5498127.87,9818.0854821,1946.239954,2025
ABILIFY MAINTENA,ARIPIPRAZOLE,J0401,"INJ, ABILIFY MAINTENA, 1 MG",2026 (Q1),310.0,670,1468990.2,4738.6780645,2192.5226866,2026
ABILIFY ASIMTUFII,ARIPIPRAZOLE,J0402,"INJ, ABILIFY ASIMTUFII, 1 MG",2025 (Q1-Q4),47.0,128,132596.89,2821.2104255,1035.9132031,2025
ABILIFY ASIMTUFII,ARIPIPRAZOLE,J0402,"INJ, ABILIFY ASIMTUFII, 1 MG",2026 (Q1),32.0,43,83911.26,2622.226875,1951.4246512,2026
AZITHROMYCIN*,AZITHROMYCIN*,J0456,AZITHROMYCIN,2025 (Q1-Q4),404.0,620,2038.45,5.0456683168,3.2878225806,2025
AZITHROMYCIN*,AZITHROMYCIN*,J0456,AZITHROMYCIN,2026 (Q1),93.0,121,419.17,4.5072043011,3.464214876,2026
AZACTAM*,AZTREONAM*,J0457,"INJECTION, AZTREONAM, 100 MG",2025 (Q1-Q4),47.0,425,41348.08,879.74638298,97.2896,2025
AZACTAM*,AZTREONAM*,J0457,"INJECTION, AZTREONAM, 100 MG",2026 (Q1),600.5,42,2019.74,605.10741214,48.089047619,2026
ATROPINE SULFATE(J0461),ATROPINE SULFATE,J0461,ATROPINE SULFATE INJECTION,2025 (Q1-Q4),8376.0,45987,186338.9,22.246764565,4.05199078,2025
ATROPINE SULFATE(J0461),ATROPINE SULFATE,J0461,ATROPINE SULFATE INJECTION,2026 (Q1),1959.0,5212,21058.87,10.749806023,4.0404585572,2026
ATROPINE SULFATE(J0462),ATROPINE SULFATE,J0462,"ATROPINE SULF, NTE, 0.01 MG",2025 (Q1-Q4),1031.0,2665,15409.78,14.946440349,5.7822814259,2025
ATROPINE SULFATE(J0462),ATROPINE SULFATE,J0462,"ATROPINE SULF, NTE, 0.01 MG",2026 (Q1),2193.0,6802,39423.58,17.977008664,5.7958806233,2026
BACLOFEN(J0475)*,BACLOFEN*,J0475,BACLOFEN 10 MG INJECTION,2025 (Q1-Q4),5992.0,18086,15622712.09,2607.2616973,863.80139832,2025
BACLOFEN(J0475)*,BACLOFEN*,J0475,BACLOFEN 10 MG INJECTION,2026 (Q1),3239.0,3893,3506792.07,1082.6773912,900.79426406,2026
BACLOFEN(J0476)*,BACLOFEN*,J0476,BACLOFEN INTRATHECAL TRIAL,2025 (Q1-Q4),18.0,28,2053.95,114.10833333,73.355357143,2025
SIMULECT,BASILIXIMAB,J0480,BASILIXIMAB,2025 (Q1-Q4),202.0,425,1969358.35,9749.2987624,4633.7843529,2025
SIMULECT,BASILIXIMAB,J0480,BASILIXIMAB,2026 (Q1),68.0,109,512723.63,7540.0533824,4703.8865138,2026
NULOJIX,BELATACEPT,J0485,BELATACEPT INJECTION,2025 (Q1-Q4),7619.0,67863,138258392.9,18146.527484,2037.3162533,2025
NULOJIX,BELATACEPT,J0485,BELATACEPT INJECTION,2026 (Q1),6411.0,17290,34952242.07,5451.9173405,2021.5293274,2026
BENLYSTA,BELIMUMAB,J0490,BELIMUMAB INJECTION,2025 (Q1-Q4),3881.0,32650,139883286.03,36043.103847,4284.3272904,2025
BENLYSTA,BELIMUMAB,J0490,BELIMUMAB INJECTION,2026 (Q1),3025.0,7491,32828076.65,10852.256744,4382.3356895,2026
SAPHNELO,ANIFROLUMAB-FNIA,J0491,INJ ANIFROLUMAB-FNIA 1MG,2025 (Q1-Q4),2283.0,16680,86770369.49,38007.170166,5202.060521,2025
SAPHNELO,ANIFROLUMAB-FNIA,J0491,INJ ANIFROLUMAB-FNIA 1MG,2026 (Q1),1822.0,4352,23213663.0,12740.759056,5334.021829,2026
BENTYL*,DICYCLOMINE HCL*,J0500,DICYCLOMINE INJECTION,2025 (Q1-Q4),82.0,83,995.41,12.139146341,11.992891566,2025
BENTYL*,DICYCLOMINE HCL*,J0500,DICYCLOMINE INJECTION,2026 (Q1),20.0,21,265.01,13.2505,12.61952381,2026
BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,J0515,INJ BENZTROPINE MESYLATE,2025 (Q1-Q4),600.5,78,2062.8,605.10741214,26.446153846,2025
BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,J0515,INJ BENZTROPINE MESYLATE,2026 (Q1),600.5,19,656.4,605.10741214,34.547368421,2026
FASENRA PEN*,BENRALIZUMAB*,J0517,"INJ., BENRALIZUMAB, 1 MG",2025 (Q1-Q4),10424.0,53039,251303330.17,24108.14756,4738.0857514,2025
FASENRA PEN*,BENRALIZUMAB*,J0517,"INJ., BENRALIZUMAB, 1 MG",2026 (Q1),7871.0,12132,57384844.6,7290.6675899,4730.0399439,2026
BICILLIN C-R,PEN G BENZ,J0558,PENG BENZATHINE/PROCAINE INJ,2025 (Q1-Q4),56.0,74,5235.1,93.483928571,70.744594595,2025
BICILLIN C-R,PEN G BENZ,J0558,PENG BENZATHINE/PROCAINE INJ,2026 (Q1),600.5,13,1708.46,605.10741214,131.42,2026
BICILLIN L-A,PENICILLIN G BENZATHINE,J0561,PENICILLIN G BENZATHINE INJ,2025 (Q1-Q4),2719.0,4655,2308876.23,849.1637477,495.99919012,2025
BICILLIN L-A,PENICILLIN G BENZATHINE,J0561,PENICILLIN G BENZATHINE INJ,2026 (Q1),405.0,610,356764.49,880.89997531,584.85981967,2026
ZINPLAVA,BEZLOTOXUMAB,J0565,"INJ, BEZLOTOXUMAB, 10 MG",2025 (Q1-Q4),384.0,385,1449306.15,3774.2347656,3764.4315584,2025
ZINPLAVA,BEZLOTOXUMAB,J0565,"INJ, BEZLOTOXUMAB, 10 MG",2026 (Q1),13.0,13,36741.77,2826.29,2826.29,2026
BRIXADI(J0577),BUPRENORPHINE,J0577,"INJ, BRIXADI, 7 DAYS OR LESS",2025 (Q1-Q4),35.0,66,17997.28,514.208,272.68606061,2025
BRIXADI(J0577),BUPRENORPHINE,J0577,"INJ, BRIXADI, 7 DAYS OR LESS",2026 (Q1),17.0,29,9578.77,563.45705882,330.30241379,2026
BRIXADI(J0578),BUPRENORPHINE,J0578,"INJ BRIXADI, MORE THAN 7 DAY",2025 (Q1-Q4),110.0,466,584407.76,5312.7978182,1254.0939056,2025
BRIXADI(J0578),BUPRENORPHINE,J0578,"INJ BRIXADI, MORE THAN 7 DAY",2026 (Q1),84.0,160,220889.72,2629.6395238,1380.56075,2026
CRYSVITA,BUROSUMAB-TWZA,J0584,"INJECTION, BUROSUMAB-TWZA 1M",2025 (Q1-Q4),86.0,854,25517057.63,296709.97244,29879.458583,2025
CRYSVITA,BUROSUMAB-TWZA,J0584,"INJECTION, BUROSUMAB-TWZA 1M",2026 (Q1),78.0,203,6303328.88,80811.908718,31050.881182,2026
BOTOX COSMETIC*,ONABOTULINUMTOXINA*,J0585,"INJECTION,ONABOTULINUMTOXINA",2025 (Q1-Q4),181386.0,444264,527969315.93,2910.7500906,1188.4134567,2025
BOTOX COSMETIC*,ONABOTULINUMTOXINA*,J0585,"INJECTION,ONABOTULINUMTOXINA",2026 (Q1),101212.0,104273,126150244.39,1246.3961229,1209.8073748,2026
DYSPORT,ABOBOTULINUMTOXINA,J0586,ABOBOTULINUMTOXINA,2025 (Q1-Q4),4524.0,10908,16641029.28,3678.388435,1525.580242,2025
DYSPORT,ABOBOTULINUMTOXINA,J0586,ABOBOTULINUMTOXINA,2026 (Q1),2657.0,2683,4156671.77,1564.4229469,1549.2626798,2026
MYOBLOC,RIMABOTULINUMTOXINB,J0587,"INJ, RIMABOTULINUMTOXINB",2025 (Q1-Q4),2757.0,5848,6447090.43,2338.4441168,1102.443644,2025
MYOBLOC,RIMABOTULINUMTOXINB,J0587,"INJ, RIMABOTULINUMTOXINB",2026 (Q1),1351.0,1378,1326276.51,981.69985936,962.46481132,2026
XEOMIN,INCOBOTULINUMTOXINA,J0588,INCOBOTULINUMTOXIN A,2025 (Q1-Q4),14071.0,34190,33786690.67,2401.1577479,988.20388037,2025
XEOMIN,INCOBOTULINUMTOXINA,J0588,INCOBOTULINUMTOXIN A,2026 (Q1),8035.0,8272,8119455.11,1010.5109035,981.55888661,2026
DAXXIFY,DAXIBOTULINUMTOXINA-LANM,J0589,INJ DAXIBOTULINUMTOXINA-LANM,2025 (Q1-Q4),772.0,1511,1114146.92,1443.1954922,737.35732627,2025
DAXXIFY,DAXIBOTULINUMTOXINA-LANM,J0589,INJ DAXIBOTULINUMTOXINA-LANM,2026 (Q1),400.0,404,269667.88,674.1697,667.49475248,2026
BUPRENORPHINE HCL,BUPRENORPHINE HCL,J0592,BUPRENORPHINE HYDROCHLORIDE,2025 (Q1-Q4),35.0,41,176.82,5.052,4.3126829268,2025
BUSULFAN*,BUSULFAN*,J0594,BUSULFAN INJECTION,2025 (Q1-Q4),103.0,240,61542.7,597.50194175,256.42791667,2025
BUSULFAN*,BUSULFAN*,J0594,BUSULFAN INJECTION,2026 (Q1),27.0,68,10642.46,394.16518519,156.50676471,2026
BUTORPHANOL TARTRATE,BUTORPHANOL TARTRATE,J0595,BUTORPHANOL TARTRATE 1 MG,2025 (Q1-Q4),127.0,470,4125.74,32.486141732,8.7781702128,2025
BUTORPHANOL TARTRATE,BUTORPHANOL TARTRATE,J0595,BUTORPHANOL TARTRATE 1 MG,2026 (Q1),40.0,88,881.0,22.025,10.011363636,2026
RUCONEST,"C1 ESTERASE INHIBITOR, RECOMB",J0596,"INJECTION, RUCONEST",2025 (Q1-Q4),17.0,111,3615.84,212.69647059,32.575135135,2025
RUCONEST,"C1 ESTERASE INHIBITOR, RECOMB",J0596,"INJECTION, RUCONEST",2026 (Q1),600.5,38,15171.16,605.10741214,399.24105263,2026
BERINERT,C1 ESTERASE INHIBITOR,J0597,"C-1 ESTERASE, BERINERT",2025 (Q1-Q4),61.0,168,1640726.93,26897.162787,9766.2317262,2025
BERINERT,C1 ESTERASE INHIBITOR,J0597,"C-1 ESTERASE, BERINERT",2026 (Q1),18.0,42,461867.54,25659.307778,10996.84619,2026
CINRYZE,C1 ESTERASE INHIBITOR,J0598,"C-1 ESTERASE, CINRYZE",2025 (Q1-Q4),600.5,34,726445.63,605.10741214,21366.047941,2025
EDETATE CALCIUM DISODIUM,EDETATE CALCIUM DISODIUM,J0600,EDETATE CALCIUM DISODIUM INJ,2025 (Q1-Q4),59.0,541,1295125.46,21951.278983,2393.9472458,2025
EDETATE CALCIUM DISODIUM,EDETATE CALCIUM DISODIUM,J0600,EDETATE CALCIUM DISODIUM INJ,2026 (Q1),25.0,107,284643.06,11385.7224,2660.215514,2026
CALCIUM GLUCONATE-NACL(J0612)*,"CALCIUM GLUC IN NACL, ISO-OSM*",J0612,"INJ, CALCIUM GLUCONATE, NOS",2025 (Q1-Q4),1884.0,9029,26040.79,13.822075372,2.8841278104,2025
CALCIUM GLUCONATE-NACL(J0612)*,"CALCIUM GLUC IN NACL, ISO-OSM*",J0612,"INJ, CALCIUM GLUCONATE, NOS",2026 (Q1),746.0,2730,5230.5,7.0113941019,1.9159340659,2026
CALCIUM GLUCONATE-NACL(J0613),"CALCIUM GLUC IN NACL, ISO-OSM",J0613,CALCIUM GLUCON (WG CRITICAL),2025 (Q1-Q4),92.0,295,1173.7,12.757608696,3.9786440678,2025
CALCIUM GLUCONATE-NACL(J0613),"CALCIUM GLUC IN NACL, ISO-OSM",J0613,CALCIUM GLUCON (WG CRITICAL),2026 (Q1),21.0,42,319.51,15.214761905,7.6073809524,2026
METOPROLOL TARTRATE,METOPROLOL TARTRATE,J0616,INJ METOPROLOL TARTRATE 1 MG,2025 (Q1-Q4),1067.0,1074,1214.81,1.1385285848,1.1311080074,2025
METOPROLOL TARTRATE,METOPROLOL TARTRATE,J0616,INJ METOPROLOL TARTRATE 1 MG,2026 (Q1),664.0,666,528.23,0.7955271084,0.7931381381,2026
CALCITONIN-SALMON*,"CALCITONIN,SALMON,SYNTHETIC*",J0630,CALCITONIN SALMON INJECTION,2025 (Q1-Q4),49.0,136,1183469.92,24152.447347,8701.9847059,2025
CANCIDAS*,CASPOFUNGIN ACETATE*,J0637,CASPOFUNGIN ACETATE,2025 (Q1-Q4),13.0,52,2595.05,199.61923077,49.904807692,2025
ILARIS,CANAKINUMAB,J0638,CANAKINUMAB INJECTION,2025 (Q1-Q4),341.0,1337,34759781.05,101934.84179,25998.340352,2025
ILARIS,CANAKINUMAB,J0638,CANAKINUMAB INJECTION,2026 (Q1),237.0,399,11046219.46,46608.520928,27684.760551,2026
LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,J0640,LEUCOVORIN CALCIUM INJECTION,2025 (Q1-Q4),13214.0,95762,4590275.29,347.37969502,47.934204486,2025
LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,J0640,LEUCOVORIN CALCIUM INJECTION,2026 (Q1),6357.0,21924,1096728.67,172.52299355,50.024113757,2026
LEVOLEUCOVORIN CALCIUM,LEVOLEUCOVORIN CALCIUM,J0641,INJ LEVOLEUCOVORIN NOS 0.5MG,2025 (Q1-Q4),199.0,1510,32888.53,165.26899497,21.780483444,2025
LEVOLEUCOVORIN CALCIUM,LEVOLEUCOVORIN CALCIUM,J0641,INJ LEVOLEUCOVORIN NOS 0.5MG,2026 (Q1),67.0,264,6221.81,92.862835821,23.567462121,2026
KHAPZORY,LEVOLEUCOVORIN,J0642,"INJECTION, KHAPZORY, 0.5 MG",2025 (Q1-Q4),115.0,834,844444.29,7342.9938261,1012.5231295,2025
KHAPZORY,LEVOLEUCOVORIN,J0642,"INJECTION, KHAPZORY, 0.5 MG",2026 (Q1),62.0,206,235763.82,3802.6422581,1144.4845631,2026
LEVOTHYROXINE SODIUM(J0650),LEVOTHYROXINE SODIUM,J0650,"INJ, LEVOTHYROXINE NOS 10MCG",2025 (Q1-Q4),600.5,127,22850.18,605.10741214,179.92267717,2025
LEVOTHYROXINE SODIUM(J0650),LEVOTHYROXINE SODIUM,J0650,"INJ, LEVOTHYROXINE NOS 10MCG",2026 (Q1),600.5,30,3418.57,605.10741214,113.95233333,2026
LEVOTHYROXINE SODIUM(J0651),LEVOTHYROXINE SODIUM,J0651,"INJ, LEVOTHYROXINE, FRESKABI",2025 (Q1-Q4),157.0,455,160427.96,1021.8341401,352.58892308,2025
LEVOTHYROXINE SODIUM(J0651),LEVOTHYROXINE SODIUM,J0651,"INJ, LEVOTHYROXINE, FRESKABI",2026 (Q1),59.0,128,55422.74,939.36847458,432.99015625,2026
BUPIVACAINE HCL*,BUPIVACAINE HCL*,J0665,"INJ, BUPIVACAINE, NOS, 0.5MG",2025 (Q1-Q4),55247.0,89935,28099.37,0.5086134994,0.312440874,2025
BUPIVACAINE HCL*,BUPIVACAINE HCL*,J0665,"INJ, BUPIVACAINE, NOS, 0.5MG",2026 (Q1),19830.0,24071,8141.67,0.4105733737,0.3382356362,2026
EXPAREL,BUPIVACAINE LIPOSOME,J0666,"INJ, BUPIVACAINE LIPOSOME",2025 (Q1-Q4),180139.0,189600,56218088.65,312.08171828,296.50890638,2025
EXPAREL,BUPIVACAINE LIPOSOME,J0666,"INJ, BUPIVACAINE LIPOSOME",2026 (Q1),51278.0,51998,15014209.37,292.80021393,288.74590119,2026
POLOCAINE-MPF*,MEPIVACAINE HCL*,J0670,INJ MEPIVACAINE HCL/10 ML,2025 (Q1-Q4),732.0,1128,14135.36,19.310601093,12.531347518,2025
POLOCAINE-MPF*,MEPIVACAINE HCL*,J0670,INJ MEPIVACAINE HCL/10 ML,2026 (Q1),171.0,185,2057.71,12.033391813,11.122756757,2026
ZEVTERA,CEFTOBIPROLE MEDOCARIL,J0681,INJ CEFTOBIPOLE MEDOCARL 3MG,2025 (Q1-Q4),600.5,51,24154.05,605.10741214,473.60882353,2025
CEFAZOLIN SODIUM(J0687),CEFAZOLIN SODIUM,J0687,INJ CEFAZOLIN (WG CRIT CARE),2025 (Q1-Q4),1992.0,2127,8962.64,4.4993172691,4.2137470616,2025
CEFAZOLIN SODIUM(J0688),CEFAZOLIN SODIUM,J0688,"INJ CEFAZOLIN SODIUM, HIKMA",2025 (Q1-Q4),6267.0,6668,35540.85,5.6711105792,5.3300614877,2025
CEFAZOLIN SODIUM(J0688),CEFAZOLIN SODIUM,J0688,"INJ CEFAZOLIN SODIUM, HIKMA",2026 (Q1),23.0,23,69.34,3.0147826087,3.0147826087,2026
CEFAZOLIN SODIUM-DEXTROSE(J0689),CEFAZOLIN SODIUM,J0689,"INJ CEFAZOLIN SODIUM, BAXTER",2025 (Q1-Q4),13.0,13,33.6,2.5846153846,2.5846153846,2025
CEFAZOLIN SODIUM-DEXTROSE(J0690)*,CEFAZOLIN SODIUM*,J0690,CEFAZOLIN SODIUM INJECTION,2025 (Q1-Q4),15153.0,21945,104572.45,6.9011053917,4.7652061973,2025
CEFAZOLIN SODIUM-DEXTROSE(J0690)*,CEFAZOLIN SODIUM*,J0690,CEFAZOLIN SODIUM INJECTION,2026 (Q1),3618.0,4394,18024.21,4.9818159204,4.1020050068,2026
CEFEPIME HCL,CEFEPIME HCL,J0692,CEFEPIME HCL FOR INJECTION,2025 (Q1-Q4),2125.0,18282,172402.54,81.130607059,9.4301794114,2025
CEFEPIME HCL,CEFEPIME HCL,J0692,CEFEPIME HCL FOR INJECTION,2026 (Q1),584.0,4085,30324.17,51.92494863,7.4232974296,2026
CEFOXITIN SODIUM*,CEFOXITIN SODIUM*,J0694,CEFOXITIN SODIUM INJECTION,2025 (Q1-Q4),359.0,823,13687.38,38.126406685,16.631081409,2025
CEFOXITIN SODIUM*,CEFOXITIN SODIUM*,J0694,CEFOXITIN SODIUM INJECTION,2026 (Q1),71.0,170,1196.25,16.848591549,7.0367647059,2026
ZERBAXA,CEFTOLOZANE,J0695,INJ CEFTOLOZANE TAZOBACTAM,2025 (Q1-Q4),135.0,586,481471.27,3566.4538519,821.62332765,2025
ZERBAXA,CEFTOLOZANE,J0695,INJ CEFTOLOZANE TAZOBACTAM,2026 (Q1),50.0,136,112099.03,2241.9806,824.25757353,2026
CEFTRIAXONE,CEFTRIAXONE IN IS-OSM DEXTROSE,J0696,CEFTRIAXONE SODIUM INJECTION,2025 (Q1-Q4),351874.0,547063,1022578.55,2.906092948,1.8692153372,2025
CEFTRIAXONE,CEFTRIAXONE IN IS-OSM DEXTROSE,J0696,CEFTRIAXONE SODIUM INJECTION,2026 (Q1),98586.0,127950,239831.59,2.4327144828,1.8744164908,2026
CEFUROXIME SODIUM,CEFUROXIME SODIUM,J0697,STERILE CEFUROXIME INJECTION,2025 (Q1-Q4),220.0,334,741.16,3.3689090909,2.2190419162,2025
CEFUROXIME SODIUM,CEFUROXIME SODIUM,J0697,STERILE CEFUROXIME INJECTION,2026 (Q1),92.0,109,269.35,2.9277173913,2.4711009174,2026
FETROJA,CEFIDEROCOL SULFATE TOSYLATE,J0699,"INJ, CEFIDEROCOL, 10 MG",2025 (Q1-Q4),31.0,85,85880.26,2770.3309677,1010.356,2025
BETAMETHASONE SOD PHOS-ACETATE*,"BETAMETHASONE ACETATE,SOD PHOS*",J0702,BETAMETHASONE ACET&SOD PHOSP,2025 (Q1-Q4),610102.0,904776,15049214.59,24.666718991,16.633083316,2025
BETAMETHASONE SOD PHOS-ACETATE*,"BETAMETHASONE ACETATE,SOD PHOS*",J0702,BETAMETHASONE ACET&SOD PHOSP,2026 (Q1),198014.0,216212,3466397.02,17.505817871,16.032398849,2026
CEFEPIME-DEXTROSE,CEFEPIME HCL IN DEXTROSE 5 %,J0703,"INJ, CEFEPIME HCL (B BRAUN)",2025 (Q1-Q4),16.0,17,304.66,19.04125,17.921176471,2025
CEFTAROLINE FOSAMIL*,CEFTAROLINE FOSAMIL ACETATE*,J0712,CEFTAROLINE FOSAMIL INJ,2025 (Q1-Q4),89.0,443,223446.01,2510.6293258,504.3927991,2025
CEFTAROLINE FOSAMIL*,CEFTAROLINE FOSAMIL ACETATE*,J0712,CEFTAROLINE FOSAMIL INJ,2026 (Q1),22.0,122,80030.25,3637.7386364,655.98565574,2026
CEFTAZIDIME*,CEFTAZIDIME*,J0713,INJ CEFTAZIDIME PER 500 MG,2025 (Q1-Q4),2381.0,5932,51603.29,21.672948341,8.6991385705,2025
CEFTAZIDIME*,CEFTAZIDIME*,J0713,INJ CEFTAZIDIME PER 500 MG,2026 (Q1),538.0,1095,9259.98,17.211858736,8.4566027397,2026
AVYCAZ,CEFTAZIDIME,J0714,CEFTAZIDIME AND AVIBACTAM,2025 (Q1-Q4),106.0,773,579261.73,5464.7333019,749.36834411,2025
AVYCAZ,CEFTAZIDIME,J0714,CEFTAZIDIME AND AVIBACTAM,2026 (Q1),34.0,151,119697.44,3520.5129412,792.69827815,2026
CIMZIA (2 PACK)*,CERTOLIZUMAB PEGOL*,J0717,CERTOLIZUMAB PEGOL INJ 1MG,2025 (Q1-Q4),26276.0,231093,362191352.73,13784.112983,1567.2969442,2025
CIMZIA (2 PACK)*,CERTOLIZUMAB PEGOL*,J0717,CERTOLIZUMAB PEGOL INJ 1MG,2026 (Q1),20564.0,53117,79110869.43,3847.0564788,1489.3700591,2026
CHORIONIC GONADOTROPIN*,"CHORIONIC GONADOTROPIN, HUMAN*",J0725,CHORIONIC GONADOTROPIN/1000U,2025 (Q1-Q4),239.0,5949,301339.59,1260.8351046,50.653822491,2025
CHORIONIC GONADOTROPIN*,"CHORIONIC GONADOTROPIN, HUMAN*",J0725,CHORIONIC GONADOTROPIN/1000U,2026 (Q1),29.0,191,18525.7,638.81724138,96.993193717,2026
CLONIDINE HCL*,CLONIDINE HCL*,J0735,CLONIDINE HYDROCHLORIDE,2025 (Q1-Q4),675.0,1730,83344.23,123.47293333,48.175855491,2025
CLONIDINE HCL*,CLONIDINE HCL*,J0735,CLONIDINE HYDROCHLORIDE,2026 (Q1),267.0,372,17155.33,64.252172285,46.116478495,2026
CLEOCIN PHOSPHATE*,CLINDAMYCIN PHOSPHATE*,J0736,"INJ, CLINDAMYCIN PHOSP 300MG",2025 (Q1-Q4),2978.0,3499,9963.93,3.3458462055,2.8476507574,2025
CLEOCIN PHOSPHATE*,CLINDAMYCIN PHOSPHATE*,J0736,"INJ, CLINDAMYCIN PHOSP 300MG",2026 (Q1),740.0,808,2818.04,3.8081621622,3.4876732673,2026
CLINDAMYCIN-0.9% NACL,CLINDAMYCIN IN 0.9 % SOD CHLOR,J0737,"INJ, CLINDAMYCIN (BAXTER)",2025 (Q1-Q4),50.0,51,227.02,4.5404,4.451372549,2025
CLINDAMYCIN-0.9% NACL,CLINDAMYCIN IN 0.9 % SOD CHLOR,J0737,"INJ, CLINDAMYCIN (BAXTER)",2026 (Q1),14.0,14,73.78,5.27,5.27,2026
YEZTUGO(J0738),LENACAPAVIR SODIUM,J0738,"HIV PREP, INJ, LENACAPAVIR",2025 (Q1-Q4),170.0,174,1806277.79,10625.163471,10380.906839,2025
YEZTUGO(J0738),LENACAPAVIR SODIUM,J0738,"HIV PREP, INJ, LENACAPAVIR",2026 (Q1),197.0,201,2884208.69,14640.653249,14349.296965,2026
APRETUDE,CABOTEGRAVIR,J0739,"HIV PREP, INJ, CABOTEGRAVIR",2025 (Q1-Q4),858.0,3683,13297451.73,15498.19549,3610.4946321,2025
APRETUDE,CABOTEGRAVIR,J0739,"HIV PREP, INJ, CABOTEGRAVIR",2026 (Q1),622.0,959,3756997.09,6040.1882476,3917.6194891,2026
CIDOFOVIR,CIDOFOVIR,J0740,CIDOFOVIR INJECTION,2025 (Q1-Q4),276.0,1117,576771.9,2089.7532609,516.35801253,2025
CIDOFOVIR,CIDOFOVIR,J0740,CIDOFOVIR INJECTION,2026 (Q1),105.0,253,139423.33,1327.8412381,551.08035573,2026
CABENUVA,CABOTEGRAVIR,J0741,"INJ, CABOTE RILPIVIR 2MG 3MG",2025 (Q1-Q4),1104.0,3864,19415191.85,17586.224502,5024.6355719,2025
CABENUVA,CABOTEGRAVIR,J0741,"INJ, CABOTE RILPIVIR 2MG 3MG",2026 (Q1),607.0,920,5485349.11,9036.8189621,5962.3359891,2026
RECARBRIO,IMIPENEM,J0742,INJ IMIP 4 CILAS 4 RELEB 2MG,2025 (Q1-Q4),600.5,178,8549.32,605.10741214,48.02988764,2025
IMIPENEM-CILASTATIN SODIUM*,IMIPENEM*,J0743,CILASTATIN SODIUM INJECTION,2025 (Q1-Q4),62.0,1104,87636.03,1413.4843548,79.380461957,2025
IMIPENEM-CILASTATIN SODIUM*,IMIPENEM*,J0743,CILASTATIN SODIUM INJECTION,2026 (Q1),20.0,172,13137.78,656.889,76.38244186,2026
CIPROFLOXACIN-D5W,CIPROFLOXACIN IN 5 % DEXTROSE,J0744,CIPROFLOXACIN IV,2025 (Q1-Q4),605.0,743,3591.74,5.9367603306,4.8341049798,2025
CIPROFLOXACIN-D5W,CIPROFLOXACIN IN 5 % DEXTROSE,J0744,CIPROFLOXACIN IV,2026 (Q1),138.0,140,605.35,4.3865942029,4.3239285714,2026
EMTRICITABINE-TENOFOVIR DISOP*,EMTRICITABINE*,J0750,"HIV PREP, FTC/TDF 200/300MG",2025 (Q1-Q4),1865.0,6191,512779.98,274.94905094,82.826680665,2025
EMTRICITABINE-TENOFOVIR DISOP*,EMTRICITABINE*,J0750,"HIV PREP, FTC/TDF 200/300MG",2026 (Q1),1210.0,1859,118900.15,98.264586777,63.959198494,2026
