Brnd_Name,Gnrc_Name,HCPCS_Cd,HCPCS_Desc,Year,Tot_Benes,Tot_Clms,Tot_Spndng,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Year_Value
PNEUMOVAX 23,PNEUMOCOCCAL 23-VAL P-SAC VAC,90732,PPSV23 VACC 2 YRS+ SUBQ/IM,2026 (Q1),7698.0,7718,1088284.55,141.37237594,141.00603136,2026
HEPLISAV-B,HEPATITIS B VACCINE,90739,HEPB VACC 2 DOSE ADULT IM,2025 (Q1-Q4),94304.0,158233,26719281.26,283.33136728,168.86035947,2025
HEPLISAV-B,HEPATITIS B VACCINE,90739,HEPB VACC 2 DOSE ADULT IM,2026 (Q1),45432.0,54586,9366214.67,206.15897759,171.58638973,2026
ENGERIX-B ADULT(90740)*,HEPATITIS B VIRUS VACCINE*,90740,HEPB VACC 3 DOSE IMMUNSUP IM,2025 (Q1-Q4),1839.0,3142,491286.38,267.14865688,156.36103756,2025
ENGERIX-B ADULT(90740)*,HEPATITIS B VIRUS VACCINE*,90740,HEPB VACC 3 DOSE IMMUNSUP IM,2026 (Q1),598.0,724,122106.39,204.19128763,168.65523481,2026
RECOMBIVAX HB,HEPATITIS B VIRUS VACCINE,90743,"HEP B VACC, ADOL, 2 DOSE, IM",2025 (Q1-Q4),104.0,117,6784.96,65.24,57.991111111,2025
RECOMBIVAX HB,HEPATITIS B VIRUS VACCINE,90743,"HEP B VACC, ADOL, 2 DOSE, IM",2026 (Q1),27.0,27,1676.34,62.086666667,62.086666667,2026
ENGERIX-B PEDIATRIC-ADOLESCENT*,HEPATITIS B VIRUS VACCINE*,90744,HEPB VACC 3 DOSE PED/ADOL IM,2025 (Q1-Q4),300.0,364,16325.16,54.4172,44.849340659,2025
ENGERIX-B PEDIATRIC-ADOLESCENT*,HEPATITIS B VIRUS VACCINE*,90744,HEPB VACC 3 DOSE PED/ADOL IM,2026 (Q1),64.0,68,3210.66,50.1665625,47.215588235,2026
ENGERIX-B ADULT(90746)*,HEPATITIS B VIRUS VACCINE*,90746,HEPB VACCINE 3 DOSE ADULT IM,2025 (Q1-Q4),35247.0,52012,3680049.79,104.40746134,70.753860455,2025
ENGERIX-B ADULT(90746)*,HEPATITIS B VIRUS VACCINE*,90746,HEPB VACCINE 3 DOSE ADULT IM,2026 (Q1),11258.0,12582,947946.79,84.202059869,75.341502941,2026
ENGERIX-B ADULT(90747)*,HEPATITIS B VIRUS VACCINE*,90747,HEPB VACC 4 DOSE IMMUNSUP IM,2025 (Q1-Q4),20972.0,43282,6187645.97,295.04319903,142.96118409,2025
ENGERIX-B ADULT(90747)*,HEPATITIS B VIRUS VACCINE*,90747,HEPB VACC 4 DOSE IMMUNSUP IM,2026 (Q1),5412.0,6808,1160521.02,214.43477827,170.46430964,2026
PREHEVBRIO,"HEPATITIS B VIRUS VAC S,M,L",90759,HEP B VAC 3AG 10MCG 3 DOS IM,2025 (Q1-Q4),78.0,101,7553.86,96.844358974,74.790693069,2025
NOVAVAX COVID   (EUA)*,COVID VAC   XBB.1.5*,91304,SARSCOV2 VAC 5MCG/0.5ML IM,2025 (Q1-Q4),47599.0,49505,8844689.87,185.81671611,178.66255671,2025
NOVAVAX COVID   (EUA)*,COVID VAC   XBB.1.5*,91304,SARSCOV2 VAC 5MCG/0.5ML IM,2026 (Q1),6125.0,6132,1108099.83,180.91425796,180.70773483,2026
PFIZER COVID   (6M-4Y)EUA*,COVID VAC  (6MO-4Y)RAXT*,91318,SARSCOV2 VAC 3MCG TRS-SUC IM,2025 (Q1-Q4),1157.0,1340,143897.77,124.37145203,107.38639552,2025
PFIZER COVID   (6M-4Y)EUA*,COVID VAC  (6MO-4Y)RAXT*,91318,SARSCOV2 VAC 3MCG TRS-SUC IM,2026 (Q1),95.0,95,7352.17,77.391263158,77.391263158,2026
COMIRNATY  (5-11Y)*,COVID VAC  (5-11Y)(PFI)*,91319,SARSCV2 VAC 10MCG TRS-SUC IM,2025 (Q1-Q4),830.0,846,72764.05,87.66753012,86.009515366,2025
COMIRNATY  (5-11Y)*,COVID VAC  (5-11Y)(PFI)*,91319,SARSCV2 VAC 10MCG TRS-SUC IM,2026 (Q1),46.0,46,3831.94,83.303043478,83.303043478,2026
COMIRNATY  *,COVID VAC  (12UP)(RAXT)*,91320,SARSCV2 VAC 30MCG TRS-SUC IM,2025 (Q1-Q4),3595378.0,4033457,646016611.91,179.67974769,160.16449708,2025
COMIRNATY  *,COVID VAC  (12UP)(RAXT)*,91320,SARSCV2 VAC 30MCG TRS-SUC IM,2026 (Q1),259396.0,259929,42064394.11,162.16284796,161.83032332,2026
MODERNA COVID  (6M-11Y)EUA*,COVID VAC  (6M-11Y)ANDU*,91321,SARSCOV2 VAC 25 MCG/.25ML IM,2025 (Q1-Q4),3175.0,3239,448338.71,141.20904252,138.41886693,2025
MODERNA COVID  (6M-11Y)EUA*,COVID VAC  (6M-11Y)ANDU*,91321,SARSCOV2 VAC 25 MCG/.25ML IM,2026 (Q1),228.0,230,30127.35,132.1375,130.98847826,2026
SPIKEVAX  *,COVID VAC  (12UP)(ANDU)*,91322,SARSCOV2 VAC 50 MCG/0.5ML IM,2025 (Q1-Q4),1441255.0,1553651,241003380.51,167.2177238,155.12066771,2025
SPIKEVAX  *,COVID VAC  (12UP)(ANDU)*,91322,SARSCOV2 VAC 50 MCG/0.5ML IM,2026 (Q1),76331.0,76644,11587662.2,151.80807536,151.1881191,2026
MNEXSPIKE   (12Y UP),COVID VAC   (12UP)(MOD),91323,SARSCOV2 VAC 10 MCG/0.2ML IM,2025 (Q1-Q4),1607077.0,1608291,317323431.84,197.45378214,197.30473642,2025
MNEXSPIKE   (12Y UP),COVID VAC   (12UP)(MOD),91323,SARSCOV2 VAC 10 MCG/0.2ML IM,2026 (Q1),127553.0,127684,25161488.16,197.26300565,197.06061965,2026
ELUCIREM*,GADOPICLENOL*,A9573,"INJ, GADOPICLENOL, 1 ML",2025 (Q1-Q4),62945.0,70812,2066010.67,32.8224747,29.175996583,2025
ELUCIREM*,GADOPICLENOL*,A9573,"INJ, GADOPICLENOL, 1 ML",2026 (Q1),22964.0,23837,647297.65,28.187495645,27.15516424,2026
CLARISCAN*,GADOTERATE MEGLUMINE*,A9575,INJ GADOTERATE MEGLUMI 0.1ML,2025 (Q1-Q4),334113.0,377032,6638322.33,19.868494581,17.606787567,2025
CLARISCAN*,GADOTERATE MEGLUMINE*,A9575,INJ GADOTERATE MEGLUMI 0.1ML,2026 (Q1),88579.0,91951,1452351.53,16.396115671,15.794842144,2026
PROHANCE MULTIPACK,GADOTERIDOL,A9576,INJ PROHANCE MULTIPACK,2025 (Q1-Q4),12924.0,14254,282576.65,21.864488548,19.824375614,2025
PROHANCE MULTIPACK,GADOTERIDOL,A9576,INJ PROHANCE MULTIPACK,2026 (Q1),3151.0,3254,69857.19,22.169847667,21.468097726,2026
MULTIHANCE,GADOBENATE DIMEGLUMINE,A9577,INJ MULTIHANCE,2025 (Q1-Q4),18962.0,20808,482909.33,25.467214956,23.207868608,2025
MULTIHANCE,GADOBENATE DIMEGLUMINE,A9577,INJ MULTIHANCE,2026 (Q1),4997.0,5179,123456.75,24.706173704,23.837951342,2026
MULTIHANCE MULTIPACK,GADOBENATE DIMEGLUMINE,A9578,INJ MULTIHANCE MULTIPACK,2025 (Q1-Q4),3368.0,3903,86119.68,25.569976247,22.064996157,2025
MULTIHANCE MULTIPACK,GADOBENATE DIMEGLUMINE,A9578,INJ MULTIHANCE MULTIPACK,2026 (Q1),577.0,598,13702.44,23.747729636,22.913779264,2026
GADOTERIDOL*,GADOTERIDOL*,A9579,"GAD-BASE MR CONTRAST NOS,1ML",2025 (Q1-Q4),41989.0,46793,1139898.32,27.147546262,24.360445366,2025
GADOTERIDOL*,GADOTERIDOL*,A9579,"GAD-BASE MR CONTRAST NOS,1ML",2026 (Q1),10413.0,10762,262047.22,25.165391338,24.349304962,2026
EOVIST,GADOXETATE DISODIUM,A9581,GADOXETATE DISODIUM INJ,2025 (Q1-Q4),8324.0,10439,1433281.21,172.18659419,137.30062362,2025
EOVIST,GADOXETATE DISODIUM,A9581,GADOXETATE DISODIUM INJ,2026 (Q1),2571.0,2602,362812.38,141.11722287,139.43596464,2026
GADAVIST*,GADOBUTROL*,A9585,GADOBUTROL INJECTION,2025 (Q1-Q4),236774.0,277968,6091990.59,25.729136603,21.916157939,2025
GADAVIST*,GADOBUTROL*,A9585,GADOBUTROL INJECTION,2026 (Q1),62471.0,65285,1462308.91,23.407803781,22.398849812,2026
CYSVIEW,HEXAMINOLEVULINATE HCL,A9589,INSTI HEXAMINOLEVULINATE HCL,2025 (Q1-Q4),159.0,207,285723.76,1797.0047799,1380.3080193,2025
CYSVIEW,HEXAMINOLEVULINATE HCL,A9589,INSTI HEXAMINOLEVULINATE HCL,2026 (Q1),61.0,61,85528.78,1402.1111475,1402.1111475,2026
XOFIGO,RADIUM-223 DICHLORIDE,A9606,RADIUM RA223 DICHLORIDE THER,2025 (Q1-Q4),667.0,2226,49034599.61,73515.141844,22028.122017,2025
XOFIGO,RADIUM-223 DICHLORIDE,A9606,RADIUM RA223 DICHLORIDE THER,2026 (Q1),212.0,392,8415158.62,39694.144434,21467.241378,2026
NUZYRA,OMADACYCLINE TOSYLATE,J0121,"INJ., OMADACYCLINE, 1 MG",2025 (Q1-Q4),401.0,8759,3783986.02,9436.3741147,432.01119078,2025
NUZYRA,OMADACYCLINE TOSYLATE,J0121,"INJ., OMADACYCLINE, 1 MG",2026 (Q1),99.0,1197,578061.37,5839.0037374,482.92512114,2026
XERAVA,ERAVACYCLINE DI-HYDROCHLORIDE,J0122,"INJ., ERAVACYCLINE, 1 MG",2025 (Q1-Q4),21.0,150,43535.94,2073.14,290.2396,2025
XERAVA,ERAVACYCLINE DI-HYDROCHLORIDE,J0122,"INJ., ERAVACYCLINE, 1 MG",2026 (Q1),18.0,136,22810.32,1267.24,167.72294118,2026
ORENCIA CLICKJECT*,ABATACEPT*,J0129,ABATACEPT INJECTION,2025 (Q1-Q4),34137.0,300246,961162292.82,28156.026974,3201.249285,2025
ORENCIA CLICKJECT*,ABATACEPT*,J0129,ABATACEPT INJECTION,2026 (Q1),27785.0,70350,228945901.43,8239.9100749,3254.3838156,2026
ACETAMINOPHEN(J0131),ACETAMINOPHEN,J0131,"INJ, ACETAMINOPHEN (NOS)",2025 (Q1-Q4),1482.0,2810,16951.7,11.438394062,6.032633452,2025
ACETAMINOPHEN(J0131),ACETAMINOPHEN,J0131,"INJ, ACETAMINOPHEN (NOS)",2026 (Q1),465.0,726,3747.94,8.0600860215,5.1624517906,2026
ACETADOTE*,ACETYLCYSTEINE*,J0132,ACETYLCYSTEINE INJECTION,2025 (Q1-Q4),131.0,471,395.24,3.0170992366,0.8391507431,2025
ACETADOTE*,ACETYLCYSTEINE*,J0132,ACETYLCYSTEINE INJECTION,2026 (Q1),600.5,21,8.67,605.10741214,0.4128571429,2026
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,J0133,ACYCLOVIR INJECTION,2025 (Q1-Q4),131.0,367,18336.9,139.97633588,49.964305177,2025
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,J0133,ACYCLOVIR INJECTION,2026 (Q1),33.0,108,14732.56,446.44121212,136.41259259,2026
ACETAMINOPHEN(J0134),ACETAMINOPHEN,J0134,INJ ACETAMINOPHEN -FRESENIUS,2025 (Q1-Q4),600.5,14,54.02,605.10741214,3.8585714286,2025
ACETAMINOPHEN(J0134),ACETAMINOPHEN,J0134,INJ ACETAMINOPHEN -FRESENIUS,2026 (Q1),600.5,12,34.54,605.10741214,2.8783333333,2026
